Found new layout. Num iterations: 12000782, Best results size: 8
Found new layout. Num iterations: 12000803, Best results size: 8
Found new layout. Num iterations: 12000907, Best results size: 9
Found new layout. Num iterations: 12000914, Best results size: 10
Found new layout. Num iterations: 12000954, Best results size: 11
Found new layout. Num iterations: 12024436, Best results size: 7
Found new layout. Num iterations: 12024681, Best results size: 8
Found new layout. Num iterations: 12025105, Best results size: 8
Found new layout. Num iterations: 12040387, Best results size: 8
Found new layout. Num iterations: 12040394, Best results size: 9
Found new layout. Num iterations: 12040401, Best results size: 9
Found new layout. Num iterations: 12040409, Best results size: 10
Found new layout. Num iterations: 12041469, Best results size: 11
Found new layout. Num iterations: 12041480, Best results size: 12
Found new layout. Num iterations: 12041509, Best results size: 13
Found new layout. Num iterations: 12041846, Best results size: 8
Found new layout. Num iterations: 12041853, Best results size: 9
Found new layout. Num iterations: 12041860, Best results size: 9
Found new layout. Num iterations: 12041868, Best results size: 10
Found new layout. Num iterations: 12042268, Best results size: 11
Found new layout. Num iterations: 12042288, Best results size: 12
Found new layout. Num iterations: 12042295, Best results size: 12
Found new layout. Num iterations: 12042704, Best results size: 8
Found new layout. Num iterations: 12042711, Best results size: 9
Found new layout. Num iterations: 12042726, Best results size: 9
Found new layout. Num iterations: 12042733, Best results size: 9
Found new layout. Num iterations: 12042741, Best results size: 10
Found new layout. Num iterations: 12043241, Best results size: 11
Found new layout. Num iterations: 12043248, Best results size: 12
Found new layout. Num iterations: 12043260, Best results size: 12
Found new layout. Num iterations: 12043267, Best results size: 13
Found new layout. Num iterations: 12043275, Best results size: 14
Found new layout. Num iterations: 12094242, Best results size: 15
Found new layout. Num iterations: 12094249, Best results size: 16
Found new layout. Num iterations: 12094256, Best results size: 17
Found new layout. Num iterations: 12094264, Best results size: 16
Found new layout. Num iterations: 12094271, Best results size: 13
Found new layout. Num iterations: 12094279, Best results size: 14
Found new layout. Num iterations: 12094292, Best results size: 15
Found new layout. Num iterations: 12094300, Best results size: 16
Found new layout. Num iterations: 12094309, Best results size: 15
Found new layout. Num iterations: 12094377, Best results size: 15
Found new layout. Num iterations: 12094964, Best results size: 15
Found new layout. Num iterations: 12094975, Best results size: 15
Found new layout. Num iterations: 12095001, Best results size: 16
Found new layout. Num iterations: 12095832, Best results size: 14
Found new layout. Num iterations: 12095839, Best results size: 15
Found new layout. Num iterations: 12095846, Best results size: 14
Found new layout. Num iterations: 12095854, Best results size: 14
Found new layout. Num iterations: 12095861, Best results size: 11
Found new layout. Num iterations: 12095869, Best results size: 12
Found new layout. Num iterations: 12095917, Best results size: 13
Found new layout. Num iterations: 12095924, Best results size: 11
Found new layout. Num iterations: 12095932, Best results size: 12
Found new layout. Num iterations: 12096446, Best results size: 13
Found new layout. Num iterations: 12096453, Best results size: 12
Found new layout. Num iterations: 12096502, Best results size: 13
Found new layout. Num iterations: 12096933, Best results size: 11
Found new layout. Num iterations: 12096941, Best results size: 11
Found new layout. Num iterations: 12096948, Best results size: 11
Found new layout. Num iterations: 12096956, Best results size: 11
Found new layout. Num iterations: 12097011, Best results size: 12
Found new layout. Num iterations: 12097243, Best results size: 13
Found new layout. Num iterations: 12097487, Best results size: 14
Found new layout. Num iterations: 12097536, Best results size: 14
Found new layout. Num iterations: 12134259, Best results size: 15
Found new layout. Num iterations: 12136867, Best results size: 14
Found new layout. Num iterations: 12136887, Best results size: 15
Found new layout. Num iterations: 12136894, Best results size: 13
Found new layout. Num iterations: 12136902, Best results size: 14
Found new layout. Num iterations: 12137762, Best results size: 15
Found new layout. Num iterations: 12137769, Best results size: 14
Found new layout. Num iterations: 12137780, Best results size: 15
Found new layout. Num iterations: 12137886, Best results size: 15
Found new layout. Num iterations: 12139123, Best results size: 8
Found new layout. Num iterations: 12139130, Best results size: 9
Found new layout. Num iterations: 12139137, Best results size: 9
Found new layout. Num iterations: 12139173, Best results size: 10
Found new layout. Num iterations: 12139207, Best results size: 11
Found new layout. Num iterations: 12139214, Best results size: 11
Found new layout. Num iterations: 12139222, Best results size: 12
Found new layout. Num iterations: 12139454, Best results size: 13
Found new layout. Num iterations: 12139699, Best results size: 11
Found new layout. Num iterations: 12139706, Best results size: 9
Found new layout. Num iterations: 12139713, Best results size: 8
Found new layout. Num iterations: 12139754, Best results size: 9
Found new layout. Num iterations: 12139792, Best results size: 8
Found new layout. Num iterations: 12139800, Best results size: 9
Found new layout. Num iterations: 12140022, Best results size: 10
Found new layout. Num iterations: 12140029, Best results size: 11
Found new layout. Num iterations: 12140338, Best results size: 9
Found new layout. Num iterations: 12140501, Best results size: 10
Found new layout. Num iterations: 12141388, Best results size: 11
